#,name,size,memory_type,price,producer,clock,timings,sticks,image_url,gaming,graphic design,programming,office
34,Corsair LPX 128GB,128,DDR4,444.99,Corsair,3000,16-18-18-36,8,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.1600.jpg,FALSE,TRUE,FALSE,FALSE
35,Corsair LPX 16GB,16,DDR4,41.99,Corsair,3400,16-18-18-36,4,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
36,Corsair LPX 16GB,16,DDR4,41.99,Corsair,4266,19-26-26-46,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
37,Corsair LPX 16GB,16,DDR4,41.99,Corsair,3200,15-17-17-35,4,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
38,Corsair LPX 16GB,16,DDR4,41.99,Corsair,2400,16-16-16-39,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,FALSE,FALSE,TRUE,TRUE
39,Corsair LPX 16GB,16,DDR4,41.99,Corsair,2133,13-15-15-28,4,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,FALSE,FALSE
40,Corsair LPX 16GB,16,DDR4,41.99,Corsair,3000,15-17-17-35,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
41,Corsair LPX 16GB,16,DDR4,41.99,Corsair,2400,14-16-16-31,1,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,FALSE,FALSE,TRUE,FALSE
42,Corsair LPX 16GB,16,DDR4,41.99,Corsair,3200,16-18-18-36,4,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
43,Corsair LPX 16GB,16,DDR4,41.99,Corsair,2400,16-16-16-39,1,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,FALSE,FALSE,TRUE,FALSE
44,Corsair LPX 32GB,32,DDR4,94.99,Corsair,3866,18-22-22-40,4,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.1600.jpg,TRUE,TRUE,FALSE,FALSE
45,Corsair Pro Series — 32GB,32,DDR3,234.99,Corsair,1866,9-10-9-27,4,https://cdna.pcpartpicker.com/static/forever/images/product/3bd86356a8e23b6badf4e2feb416a843.1600.jpg,TRUE,FALSE,TRUE,FALSE
46,Corsair Pro Series — 8GB,8,DDR3,134.32,Corsair,1600,9-9-9-24,2,https://images-na.ssl-images-amazon.com/images/I/411bqk5l7TL.jpg,FALSE,FALSE,TRUE,TRUE
47,Corsair RGB 16GB,16,DDR4,41.99,Corsair,3200,16-18-18-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
48,Corsair RGB 32GB,32,DDR4,94.99,Corsair,3333,16-18-18-36,4,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.1600.jpg,TRUE,TRUE,FALSE,FALSE
49,Corsair RGB 32GB,32,DDR4,94.99,Corsair,2666,16-18-18-35,4,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.1600.jpg,TRUE,TRUE,TRUE,FALSE
50,Corsair SO-Dimm Vengeance Series DDR4-3000,16,DDR4,41.99,Corsair,3000,16-18-18-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,TRUE,FALSE,TRUE,FALSE
51,Corsair ValueSelect,16,DDR4,39.99,Corsair,2133,15-15-15-36,2,https://cdna.pcpartpicker.com/static/forever/images/product/33813e932dd7993032d89b4ce508aa21.256p.jpg,TRUE,FALSE,TRUE,FALSE
52,Corsair ValueSelect DDR3-1333 CL9,8,DDR3,49.99,Corsair,1333,,1,https://cdn11.bigcommerce.com/s-6bkt1ygjlf/images/stencil/1280x1280/products/764689/827706/CMV8GX3M1A1333C9-lg__35355.1635948238.jpg?c=2?imbypass=on,FALSE,FALSE,TRUE,TRUE
53,Corsair ValueSelect Series DDR4-2133,8,DDR4,49.99,Corsair,2133,15-15-15-36,1,https://media.ldlc.com/r1600/ld/products/00/03/08/91/LD0003089176_2_0003089206.jpg,TRUE,FALSE,TRUE,TRUE
54,Corsair Vengeance,192,DDR5,669.99,Corsair,5200,38-38-38-84,4,https://cdna.pcpartpicker.com/static/forever/images/product/a1a07494c46dd71252fe1127c3523562.1600.jpg,FALSE,TRUE,FALSE,FALSE
55,Corsair Vengeance,32,DDR5,104.99,Corsair,7000,34-42-42-96,2,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,FALSE,TRUE,FALSE,FALSE
56,Corsair Vengeance,64,DDR5,159.99,Corsair,5200,40-40-40-77,2,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg,TRUE,TRUE,FALSE,FALSE
57,Corsair Vengeance,48,DDR5,189.30,Corsair,7000,40-52-52-114,2,https://cdna.pcpartpicker.com/static/forever/images/product/1c95c8797b9d8d1e8ced68926892786c.1600.jpg,TRUE,TRUE,FALSE,FALSE
58,Corsair Vengeance DDR3-1600 CL10,8,DDR3,44.99,Corsair,1600,,1,https://cdna.pcpartpicker.com/static/forever/images/product/43bbe574d71b52e966f4358f929922ac.1600.jpg,TRUE,FALSE,TRUE,TRUE
59,Corsair Vengeance DDR3-1600 CL9,12,DDR3,134.32,Corsair,1600,,3,https://m.media-amazon.com/images/I/41GXaQVMt0L.jpg,TRUE,FALSE,TRUE,FALSE
60,Corsair Vengeance LED blue DDR4-3200  CL16,16,DDR4,41.99,Corsair,3200,,2,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,TRUE,FALSE,TRUE,FALSE
61,Corsair Vengeance LED red DDR4-2666  CL16,32,DDR4,104.99,Corsair,2666,,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,TRUE,FALSE
62,Corsair Vengeance LED red DDR4-3000  CL15,32,DDR4,104.99,Corsair,3000,,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
63,Corsair Vengeance LED red DDR4-3000  CL15,16,DDR4,41.99,Corsair,3000,,2,https://cdna.pcpartpicker.com/static/forever/images/product/c8c550b5d013b34d3aa138781624bd7b.256p.jpg,TRUE,FALSE,TRUE,FALSE
64,Corsair Vengeance LED red DDR4-3200  CL16,16,DDR4,41.99,Corsair,3200,,2,https://cdna.pcpartpicker.com/static/forever/images/product/c8c550b5d013b34d3aa138781624bd7b.256p.jpg,TRUE,FALSE,TRUE,TRUE
65,Corsair Vengeance LED red DDR4-3400  CL16,32,DDR4,104.99,Corsair,3400,,4,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,FALSE,FALSE
66,Corsair Vengeance LED Series,16,DDR4,220.00,Corsair,2666,16-18-18-35,2,https://m.media-amazon.com/images/I/41ORtJsa-rL.jpg,TRUE,FALSE,TRUE,FALSE
67,Corsair Vengeance LED white DDR4-2666  CL16,32,DDR4,104.99,Corsair,2666,,1,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,TRUE,TRUE,TRUE,FALSE
68,Corsair Vengeance LED white DDR4-3000  CL15,64,DDR4,159.99,Corsair,3000,,1,https://cdna.pcpartpicker.com/static/forever/images/product/087a53a300785acbd5a872d29c668058.256p.jpg,TRUE,TRUE,FALSE,FALSE
69,Corsair Vengeance LED white DDR4-3000  CL15,16,DDR4,41.99,Corsair,3000,,2,https://cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,TRUE,FALSE,TRUE,FALSE
