name,price,capacity,price_per_gb,type,cache,form_factor,interface,image_url
Seagate ST6000VN0021,250.0,6000.0,0.042,7200,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/522ae2cd7bd2dc96b8fef35d250af682.256p.jpg
Seagate ST600MM0158,39.74,600.0,0.066,10000,128.0,2.5,SAS 12.0 Gb/s,https://m.media-amazon.com/images/I/51bHED5ng5L.jpg
Toshiba DT01ACA100,49.02,1000.0,0.049,7200,32.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/b292420c25c9662b49beabcc4e2b5362.256p.jpg
Toshiba HDKCC00,35.9,500.0,0.072,7200,16.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/9b1d3dd195aa5371aaa5b3a0f4eac84d.256p.jpg
Toshiba L200,46.17,1000.0,0.046,5400,128.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/eb7ee4ce5b0d9aee2d214b80dc928cd6.256p.jpg
Toshiba MG03ACA,85.99,2000.0,0.043,7200,64.0,3.5,SATA 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/51BtsHJWP2L.jpg
Toshiba MK6465GSX,39.0,640.0,0.061,5400,8.0,2.5,SATA 3.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/51F6D20PtxL.jpg
Toshiba N300,243.98,8000.0,0.03,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2cbbf7a3ad8013a4bf27607bad5aabcd.256p.jpg
Toshiba N300,179.99,10000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2cbbf7a3ad8013a4bf27607bad5aabcd.256p.jpg
Toshiba N300,214.99,12000.0,0.018,7200,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/2cbbf7a3ad8013a4bf27607bad5aabcd.256p.jpg
Toshiba P300,99.0,2000.0,0.05,7200,64.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/15aef12f00c6cec9bb56e547326c33b2.256p.jpg
Toshiba P300,93.31,4000.0,0.023,5400,128.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/15aef12f00c6cec9bb56e547326c33b2.256p.jpg
Toshiba X300,189.99,10000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41QClauIrCL.jpg
Toshiba X300 Pro,269.99,12000.0,0.022,7200,512.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41ZatSrY3+L.jpg
Toshiba X300 Pro,364.99,18000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/41ZatSrY3+L.jpg
Western Digital Ae,123.72,6000.0,0.021,5760,64.0,3.5,SATA 6.0 Gb/s,https://m.media-amazon.com/images/I/51vcu7tVDtL.jpg
Western Digital AV-GP,18.71,500.0,0.037,5400,16.0,3.5,SATA 3.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1ed3ba2b05451e2537a17258f48b895f.256p.jpg
Western Digital AV-GP,120.7,2000.0,0.06,5400,64.0,3.5,SATA 3.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/1ed3ba2b05451e2537a17258f48b895f.256p.jpg
Western Digital Black,58.99,1000.0,0.059,7200,64.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/79382e732eb79c802239d346232806dd.256p.jpg
Western Digital Blue,54.99,3000.0,0.018,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/da6c2cb6e4d17032dbb3da790499b57f.256p.jpg
Western Digital Blue,72.99,4000.0,0.018,5400,256.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/da6c2cb6e4d17032dbb3da790499b57f.256p.jpg
Western Digital Blue Mobile,23.77,500.0,0.048,5400,16.0,2.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/5063b739921761c6a8c5847a4ef62c7f.256p.jpg
Western Digital Caviar Blue,114.31,750.0,0.152,7200,32.0,3.5,SATA 6.0 Gb/s,https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
Western Digital Caviar Green,20.87,500.0,0.042,5400,32.0,3.5,SATA 3.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/51rpntPX04L.jpg
Western Digital Caviar Green,189.95,750.0,0.253,5400,32.0,3.5,SATA 3.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/51rpntPX04L.jpg
Western Digital Caviar Green,119.77,1500.0,0.08,5400,64.0,3.5,SATA 6.0 Gb/s,https://images-na.ssl-images-amazon.com/images/I/51rpntPX04L.jpg
