#,name,from_factor,socket,memory_type,memory_max_capacity,price,chipset,producer,ram_slots,m.2 pci-e 3.0,m.2 pci-e 4.0,usb 3 slots,usb 3 headers,usb 3 type-c,vga,dvi,display port,hdmi,pci-e 3.0,pci-e 4.0,external_image
38,ASRock X570 Extreme4,ATX,AM4,DDR4,128.0,203.99,X570,ASRock,4,2.0,0.0,6.0,5.0,,0.0,0.0,0.0,1.0,0,5,https://cdna.pcpartpicker.com/static/forever/images/product/2d1b2aac65d64d9f823e33f0680fa5c3.256p.jpg
39,ASRock X570 Phantom Gaming 4,ATX,AM4,DDR4,128.0,105.99,X570,ASRock,4,2.0,0.0,6.0,4.0,,0.0,0.0,1.0,1.0,0,4,https://m.media-amazon.com/images/I/51wxYWXoUtL.jpg
40,ASRock X570 Pro4,ATX,AM4,DDR4,128.0,160.99,X570,ASRock,4,2.0,0.0,6.0,4.0,,0.0,0.0,0.0,1.0,0,4,https://cdna.pcpartpicker.com/static/forever/images/product/75e744946902a18df556c10f40ccbb35.256p.jpg
41,ASRock X570 Taichi,ATX,AM4,DDR4,128.0,218.99,X570,ASRock,4,3.0,0.0,6.0,2.0,,0.0,0.0,0.0,1.0,0,5,https://cdna.pcpartpicker.com/static/forever/images/product/a43cfe6b3deca519ea05604568cb0b4b.256p.jpg
42,ASRock X670E PG Lightnin,ATX,AM5,DDR5,128.0,248.99,X670E,ASRock,4,1.0,1.0,6.0,,,0.0,0.0,1.0,1.0,0,3,https://m.media-amazon.com/images/I/51ByrFiyxXL.jpg
43,ASRock X670E Taichi Carrar,E-ATX,AM5,DDR5,128.0,519.99,X670E,ASRock,4,,1.0,3.0,,,0.0,0.0,0.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/4512c53464fa2014ed6a597b4fe41e00.256p.jpg
44,ASRock Z270 Killer SL,ATX,1151,DDR4,64.0,127.99,Z270,ASRock,4,2.0,0.0,5.0,2.0,,0.0,0.0,0.0,0.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/61036e98987f7d01afc7744a87620d8f.256p.jpg
45,ASRock Z270M-ITX/a,Mini-ITX,1151,DDR4,32.0,121.35,Z270,ASRock,2,1.0,0.0,6.0,2.0,,0.0,0.0,0.0,0.0,1,0,https://m.media-amazon.com/images/I/51sWl0a+JyL.jpg
46,ASRock Z370 Extreme,ATX,1151,DDR4,64.0,150.25,Z370,ASRock,4,2.0,0.0,4.0,5.0,,0.0,0.0,0.0,0.0,6,0,https://cdna.pcpartpicker.com/static/forever/images/product/733aae698bf410958b6a10a7ef613474.256p.jpg
47,ASRock Z370 Pro,ATX,1151,DDR4,64.0,134.75,Z370,ASRock,4,2.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,5,0,https://cdna.pcpartpicker.com/static/forever/images/product/9e1eb50ed97ad182aa5c4d460b820a3e.256p.jpg
48,ASRock Z390 M Pro,Micro-ATX,1151,DDR4,128.0,114.99,Z390,ASRock,4,,0.0,,,,0.0,0.0,0.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/fe7360c2156ea7e8b97b8908212fa2fa.256p.jpg
49,ASRock Z390 Phantom Gaming-ITX/AC,Mini-ITX,1151,DDR4,64.0,161.99,Z390,ASRock,2,,0.0,,,,0.0,0.0,1.0,1.0,0,0,https://cdna.pcpartpicker.com/static/forever/images/product/67a230012ab18b09bd99ed50683169d8.256p.jpg
