#,name,pci-e,series,vram,cores,memory_clock,boost_clock,price,producer,length,slots,8-pin connectors,6-pin connectors,hdmi,display port,dvi,vga,sync,tdp,image_url,gaming,graphic design,programming,office
37,EVGA GeForce GTX 1070 Ti FTW Ultra Silent,3.0,GeForce GTX 1070 Ti,8,2432,8008,1683,569.99,EVGA,266.7,3.0,2.0,0.0,0.0,0.0,0.0,0.0,G-Sync,180,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg,FALSE,FALSE,TRUE,FALSE
38,EVGA GeForce GTX 1650 SC Ultra Gaming GDDR6,3.0,GeForce GTX 1650 (4GB),4,896,12000,1710,184.99,EVGA,202.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,G-Sync,75,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,FALSE,FALSE,TRUE,FALSE
39,EVGA GeForce GTX 1660 SC Ultra Gaming,3.0,GeForce GTX 1660 (6GB),6,1830,8000,1830,249.99,EVGA,202.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,,120,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,TRUE,FALSE,FALSE,FALSE
40,EVGA GeForce GTX 750 Superclocked,3.0,GeForce GTX 750,1,512,5012,1294,129.99,EVGA,170.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,G-Sync,55,https://cdna.pcpartpicker.com/static/forever/images/product/98d66a3d40876fec0cf643a7f6c6a00e.256p.jpg,FALSE,FALSE,TRUE,TRUE
41,EVGA GeForce RTX 2060 KO Gaming,3.0,GeForce RTX 2060 (6GB),6,1920,14000,1680,301.66,EVGA,202.1,,1.0,0.0,0.0,0.0,0.0,0.0,,160,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,TRUE,FALSE,FALSE,FALSE
42,EVGA GeForce RTX 2060 XC Ultra Black Gaming,3.0,GeForce RTX 2060 (6GB),6,1920,14000,1680,389.99,EVGA,269.2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,G-Sync,160,https://cdna.pcpartpicker.com/static/forever/images/product/ce6ead6bf41188e4a25e4d71e11035c1.256p.jpg,TRUE,FALSE,FALSE,FALSE
43,EVGA GeForce RTX 2070 Black Edition,3.0,GeForce RTX 2070,8,2304,14000,1620,497.09,EVGA,269.2,2.0,1.0,0.0,1.0,2.0,1.0,0.0,G-Sync,175,https://cdna.pcpartpicker.com/static/forever/images/product/07ff8dc03a65e34edc811c97d838af9a.256p.jpg,TRUE,TRUE,FALSE,FALSE
44,EVGA GeForce RTX 2080 Super FTW3 Hydro Copper Gaming,3.0,GeForce RTX 2080 Super,8,3072,15500,1845,879.99,EVGA,290.87,2.0,2.0,0.0,1.0,3.0,0.0,0.0,,250,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg,TRUE,TRUE,FALSE,FALSE
45,EVGA GeForce RTX 2080 Ti,3.0,GeForce RTX 2080 Ti,11,4352,14000,1545,1309.99,EVGA,266.0,2.0,2.0,0.0,1.0,2.0,0.0,0.0,,250,https://cdna.pcpartpicker.com/static/forever/images/product/a6cfb4e58daecb7b49fb19b0f5268a56.256p.jpg,TRUE,TRUE,FALSE,FALSE
46,EVGA GeForce RTX 2080 Ti Black Edition Gaming,3.0,GeForce RTX 2080 Ti,11,4352,14000,1545,1139.99,EVGA,269.2,2.0,2.0,0.0,1.0,3.0,0.0,0.0,,250,https://cdna.pcpartpicker.com/static/forever/images/product/7760e2607e7488a74486e8de8d3162b5.256p.jpg,TRUE,TRUE,FALSE,FALSE
