#,name,socket,price,producer,base_clock,turbo_clock,cores,threads,tdp,integrated graphics,image_url,gaming,graphic design,programming,office
35,AMD Ryzen 5 2600X,AM4,149.99,AMD,3.6,4.2,6,12,95,,https://cdna.pcpartpicker.com/static/forever/images/product/55aea2dd64e2e3a3e3b1d678048d8d76.256p.jpg,FALSE,FALSE,TRUE,TRUE
36,AMD Ryzen 5 3400G,AM4,149.00,AMD,3.7,4.2,4,8,65,Radeon RX Vega 11,https://cdna.pcpartpicker.com/static/forever/images/product/43e2914b40ccb9ab7ce39eb656db3b44.256p.jpg,FALSE,FALSE,TRUE,TRUE
37,AMD Ryzen 5 3600,AM4,199.00,AMD,3.6,4.2,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,FALSE,FALSE,TRUE,FALSE
38,AMD Ryzen 5 3600X,AM4,239.00,AMD,3.8,4.4,6,12,95,,https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg,TRUE,FALSE,TRUE,FALSE
39,AMD Ryzen 5 3600XT,AM4,199.99,AMD,3.8,4.5,6,12,95,,https://cdna.pcpartpicker.com/static/forever/images/product/16ddfc2028922cd20cffaa6976165f84.256p.jpg,TRUE,FALSE,TRUE,FALSE
40,AMD Ryzen 5 4500,AM4,76.00,AMD,3.6,4.1,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/e1f3bf613a5651db6f394c8dd41f0f15.256p.jpg,TRUE,FALSE,TRUE,FALSE
41,AMD Ryzen 5 5500,AM4,98.01,AMD,3.6,4.2,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,TRUE,FALSE,FALSE,FALSE
42,AMD Ryzen 5 5600,AM4,149.00,AMD,3.5,4.4,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg,TRUE,FALSE,FALSE,FALSE
43,AMD Ryzen 5 5600G,AM4,128.00,AMD,3.9,4.4,6,12,65,"Radeon RX Vega 7, Cezanne",https://cdna.pcpartpicker.com/static/forever/images/product/1dd09dfdc581be6224a323d49d714c7f.256p.jpg,TRUE,FALSE,FALSE,FALSE
44,AMD Ryzen 5 5600X,AM4,169.00,AMD,3.7,4.6,6,12,65,,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg,TRUE,FALSE,FALSE,FALSE
45,AMD Ryzen 5 7600,AM5,229.00,AMD,3.8,5.1,6,12,65,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/4a9bfe0a3f46152eea8bea46c54e1775.256p.jpg,TRUE,FALSE,FALSE,FALSE
46,AMD Ryzen 5 7600X,AM5,230.00,AMD,4.7,5.3,6,12,105,Ryzen 7000 Graphics,https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg,TRUE,TRUE,FALSE,FALSE
47,AMD Ryzen 7 1700,AM4,301.72,AMD,3.0,3.7,8,16,65,,https://cdna.pcpartpicker.com/static/forever/images/product/d57406e2534cf5ae6cb9141e656374f4.256p.jpg,TRUE,TRUE,FALSE,FALSE
48,AMD Ryzen 7 1700X,AM4,199.99,AMD,3.4,3.8,8,16,95,,https://cdna.pcpartpicker.com/static/forever/images/product/590d9c982550da4f2f69490c5f9c0902.256p.jpg,FALSE,FALSE,TRUE,FALSE
